company,score,towns_cities,counties,routes,tags,linkedin_company_search_url,linkedin_jobs_search_url,linkedin_recruiter_search_url,linkedin_hiring_manager_search_url,outreach_reason,connection_note
Air Technology Systems Ltd B,114,['romsgrove'],['West Midlands W'],['Skilled Worker'],"['ai', 'systems', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Air+Technology+Systems+Ltd+B,https://www.linkedin.com/jobs/search/?keywords=Air+Technology+Systems+Ltd+B+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Air+Technology+Systems+Ltd+B+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Air+Technology+Systems+Ltd+B+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in romsgrove.,"Hi, I noticed Air Technology Systems Ltd B is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Air Technology Systems Ltd B."
Communications Software Airline Systems Ltd,110,"['Ashbourne', 'London']",['Derbyshire'],['Skilled Worker'],"['ai', 'software', 'systems', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Communications+Software+Airline+Systems+Ltd,https://www.linkedin.com/jobs/search/?keywords=Communications+Software+Airline+Systems+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Communications+Software+Airline+Systems+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Communications+Software+Airline+Systems+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Ashbourne.,"Hi, I noticed Communications Software Airline Systems Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Communications Software Airline Sy"
East London Advanced Technology Training,108,['London'],[],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=East+London+Advanced+Technology+Training,https://www.linkedin.com/jobs/search/?keywords=East+London+Advanced+Technology+Training+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=East+London+Advanced+Technology+Training+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=East+London+Advanced+Technology+Training+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed East London Advanced Technology Training is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at East London Advanced Technology Train"
Enterprise AI Technology Ltd,108,['London'],[],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Enterprise+AI+Technology+Ltd,https://www.linkedin.com/jobs/search/?keywords=Enterprise+AI+Technology+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Enterprise+AI+Technology+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Enterprise+AI+Technology+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Enterprise AI Technology Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Enterprise AI Technology Ltd."
GfK Retail and Technology UK Limited,108,['London'],['Worker'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=GfK+Retail+and+Technology+UK+Limited,https://www.linkedin.com/jobs/search/?keywords=GfK+Retail+and+Technology+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=GfK+Retail+and+Technology+UK+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=GfK+Retail+and+Technology+UK+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed GfK Retail and Technology UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at GfK Retail and Technology UK Limited."
Kunai Technology Limited,108,['London'],['Worke'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Kunai+Technology+Limited,https://www.linkedin.com/jobs/search/?keywords=Kunai+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Kunai+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Kunai+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Kunai Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kunai Technology Limited."
MAIA Technology Limited,108,['London'],[],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=MAIA+Technology+Limited,https://www.linkedin.com/jobs/search/?keywords=MAIA+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=MAIA+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=MAIA+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed MAIA Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at MAIA Technology Limited."
RETAIL TECHNOLOGY LTD,108,['London'],[],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=RETAIL+TECHNOLOGY+LTD,https://www.linkedin.com/jobs/search/?keywords=RETAIL+TECHNOLOGY+LTD+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=RETAIL+TECHNOLOGY+LTD+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=RETAIL+TECHNOLOGY+LTD+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed RETAIL TECHNOLOGY LTD is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at RETAIL TECHNOLOGY LTD."
Sai Technology Solutions Ltd,108,['Tring'],[],['Skilled Worker'],"['ai', 'services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Sai+Technology+Solutions+Ltd,https://www.linkedin.com/jobs/search/?keywords=Sai+Technology+Solutions+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Sai+Technology+Solutions+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Sai+Technology+Solutions+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Tring.,"Hi, I noticed Sai Technology Solutions Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Sai Technology Solutions Ltd."
Saiven Technology Solutions Limited Sw,108,['indon'],['Worker'],['Skilled Worker'],"['ai', 'services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Saiven+Technology+Solutions+Limited+Sw,https://www.linkedin.com/jobs/search/?keywords=Saiven+Technology+Solutions+Limited+Sw+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Saiven+Technology+Solutions+Limited+Sw+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Saiven+Technology+Solutions+Limited+Sw+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in indon.,"Hi, I noticed Saiven Technology Solutions Limited Sw is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Saiven Technology Solutions Limited Sw."
