rank,company,contact_type,recommended_titles,linkedin_search_url,linkedin_jobs_url,towns_cities,routes,score,connection_note
1,Communications Software Airline Systems Ltd,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Communications+Software+Airline+Systems+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Communications+Software+Airline+Systems+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,"Ashbourne, London",Skilled Worker,110,"Hi, I noticed Communications Software Airline Systems Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Communications Software Airline Sy"
2,Communications Software Airline Systems Ltd,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Communications+Software+Airline+Systems+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Communications+Software+Airline+Systems+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,"Ashbourne, London",Skilled Worker,110,"Hi, I noticed Communications Software Airline Systems Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Communications Software Airline Sy"
3,Enterprise AI Technology Ltd,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Enterprise+AI+Technology+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Enterprise+AI+Technology+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed Enterprise AI Technology Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Enterprise AI Technology Ltd."
4,Enterprise AI Technology Ltd,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Enterprise+AI+Technology+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Enterprise+AI+Technology+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed Enterprise AI Technology Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Enterprise AI Technology Ltd."
5,GfK Retail and Technology UK Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=GfK+Retail+and+Technology+UK+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=GfK+Retail+and+Technology+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed GfK Retail and Technology UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at GfK Retail and Technology UK Limited."
6,GfK Retail and Technology UK Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=GfK+Retail+and+Technology+UK+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=GfK+Retail+and+Technology+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed GfK Retail and Technology UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at GfK Retail and Technology UK Limited."
7,Kunai Technology Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Kunai+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Kunai+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed Kunai Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kunai Technology Limited."
8,Kunai Technology Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Kunai+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Kunai+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed Kunai Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kunai Technology Limited."
9,MAIA Technology Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=MAIA+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=MAIA+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed MAIA Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at MAIA Technology Limited."
10,MAIA Technology Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=MAIA+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=MAIA+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed MAIA Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at MAIA Technology Limited."
11,RETAIL TECHNOLOGY LTD,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=RETAIL+TECHNOLOGY+LTD+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=RETAIL+TECHNOLOGY+LTD+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed RETAIL TECHNOLOGY LTD is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at RETAIL TECHNOLOGY LTD."
